ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
29,ecef2f69-d576-46bb-bdff-48c7e980adab,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.72255331,38.23790198
30,7249c192-fdd5-46ea-904c-84feabba0d09,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.72434303,38.24012663
31,5ad0e05c-d2c8-45f8-8c65-d9f1a52695e4,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.72331369,38.23908462
32,bfecaad4-d1ab-422d-b2ac-562f8a549ac9,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.71701179,38.23129615
33,de71b728-a18c-4227-9902-93690f9e9df8,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.71688227,38.23113777
34,07cb0c96-b126-4c9e-8c44-01c0ae966ea6,iron,useable,fb885d3e-0434-4660-9596-47423148c96b,6/11/2017 6:10:24 PM,,6/11/2017 6:10:24 PM,,-85.72203856,38.23725625
35,ab037df1-8e85-4f74-a247-9011a56e58be,wire,useable,0e909093-9089-48f1-912a-3758f4fc754e,6/11/2017 6:20:44 PM,,6/11/2017 6:20:44 PM,,-85.6840168211858,38.2231089068071
36,3b4401f3-1085-4dc1-bb6c-e01d7e6b4b3e,wire,useable,0e909093-9089-48f1-912a-3758f4fc754e,6/11/2017 6:20:44 PM,,6/11/2017 6:20:44 PM,,-85.6572658103757,38.2219185121713
37,626fdf81-de98-4bd7-8ceb-05d71871e925,wire,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7100365963631,38.2324165525271
38,32b3dccc-a444-4639-b87d-125698efeac7,wire,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.710562141692,38.2328063948436
